Title,Rating,Comments,Review Date,Id
Pathaan,6.5,"Overall, a pretty decent watch that has a lot of fun elements and lighter moments (like some of the jokes and the dance sequences), but follows the generic Bollywood Action movie formula so much that the movie is very predictable and bland (with the non-linear storytelling not helping as well)",02/27/2023,321
Self Reliance,7.3,"Overall, a fun watch that blends comedy and thriller elements very well as the movie is a pretty funny and captivating directorial debut from for Jake Johnson, though it very predictable in its plot and pretty safe overall as it falls too much into the 2010s comedy tropes",03/19/2023,324
"You Sing Loud, I Sing Louder",5.4,"Overall, a movie that suffers from having too low of a budget as the performances by the leads cannot save this artsy/indie film as it is held back by poor acting from the rest of the cast, bland writing (though not all of it is bad), and poorly executed sequences (whether it be scenes with a lot of dead air or the climax itself)",03/19/2023,325
BlackBerry,8.8,"Overall, an extremely entertaining movie that blends multiple genres to create an engaging biopic that tell the story of a famous company where not that much is known about them, with all the cinematic elements of the film coming together to drive the story forward",03/19/2023,326
Tetris,8.2,"Overall, a very entertaining movie that is a well constructed fun watch to see how Tetris escaped the Soviet Union as the tone coupled with performances help bring the audience on a fun ride, though the movie is a bit too safe in its writing and storytelling",03/19/2023,327
Evil Dead Rise,4.9,"Overall, a movie that has very well executed horror sequences, but overall feels like it panders more into the splatter genre than actually making a movie as it cares too much about being gory and providing scary moments than having a well structured horror plot because of how bad the writing and plot construction is (with the biggest issue being how the conflict is handled throughout the movie)",03/19/2023,328
Joy Ride,5.8,"Overall, a movie that was a decent watch as it follows the standard Seth Rogen/2010s comedy template to bring East Asian female representation to the comedic world, but is ultimately not really made for me as the film is a hit or miss on jokes given I have kinda outgrown the raunchy comedy style and a lot of the jokes were geared towards East Asians (so I could see how the East Asian female demographic would really enjoy this movie)",03/19/2023,329
Theater Camp,9.0,"Overall, an extremely funny movie that is well made as this mockumentary looks into the eyes of a typical theater camp through the use of improv, hand-held cinematography, and funny writing to make this movie very captivating and a great watch overall (my favorite film of SXSW)",03/19/2023,330
Creed III,6.8,"Overall, a decent to pretty good watch in this part of the Rocky/Creed franchise as we get to see some unique features in new storytelling and fighting scenes, but the movie does have its issues as it is way shorter than it should've been given the plot really does not build the rising action at all and there is no real tribute/allusions to Rocky himself (which makes it hard for me to really compare this movie to others in the franchise given my bias towards the original movies)",03/21/2023,331
Air,8.1,"Overall, a very fun watch about the story of how Michael Jordan signed with Nike as the all-star cast really propels the story forward to make this movie very enjoyable, though it really does not go above and beyond in any way as it is a pretty straightforward biopic with cliche writing (which is kinda the point as it felt like this movie wasn't taking itself too seriously as it was just a couple of friends having fun on a project)",04/01/2023,332
The Super Mario Bros Movie,6.2,"Overall, a decent children's movie that does a good job in staying very true to the games and is carried by its voice cast, but is limited by it being mostly a children's movie (with only nostalgia keeping adults interested) and a very short runtime as the hero's journey really cannot develop (along with the relationship between Mario and Peach)",04/10/2023,333
Renfield,5.5,"Overall, a movie with memorable performances from Hoult and Cage and well executed action sequences, but has incredibly corny writing and is very formulaic and predictable",04/17/2023,334
John Wick: Chapter 4,8.2,"Overall, the best movie of the franchise by far as its use of cinematography, technical elements, and fight choreography make this movie such a fun watch and a benchmark in how to make action movies going forward due to the grand nature of this chapter, but the movie feels very long with its unnecessary cramming of plot and slow pace",04/20/2023,337
Beau is Afraid,4.4,"Overall, a chaotic mess from a talented director as he fails to direct this poorly constructed horror film as he tries way to hard to be edgy and grotesque rather than actually be a good storyteller with a compelling script, so much to the point that the cinematography/sound/editing and performance by Phoenix cannot save this 3 hour mess from being watchable as it feels more like a waste of time then a compelling watch",04/24/2023,338
